cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
rss;fld_s01i201;;W m-2;time lat lon;longitude latitude time;day;atmos;area: time: mean;down;MIP_APday;CM2;float32;110592;74772;cm000a.pd;NET DOWN SURFACE SW FLUX: SW TS ONLY;surface_net_downward_shortwave_flux
rsuscs;fld_s01i211;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;up;MIP_APmon;CM2;float32;110592;12;cw323a.pm;CLEAR-SKY (II) UP SURFACE SW FLUX;surface_upwelling_shortwave_flux_in_air_assuming_clear_sky
rsuscs;fld_s01i211;;W m-2;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;up;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;CLEAR-SKY (II) UP SURFACE SW FLUX;surface_upwelling_shortwave_flux_in_air_assuming_clear_sky
rsus;fld_s01i235 fld_s01i201;var[0]-var[1];W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;up;MIP_APmon;CM2;float32;110592;12;cw323a.pm;Surface Upwelling Shortwave Radiation;surface_upwelling_shortwave_flux_in_air
rsus;fld_s01i235 fld_s01i201;var[0]-var[1];W m-2;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;up;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;Surface Upwelling Shortwave Radiation;surface_upwelling_shortwave_flux_in_air
rsus;fld_s01i235 fld_s01i201;var[0]-var[1];W m-2;time lat lon;longitude latitude time;day;atmos;area: time: mean;up;MIP_APday;CM2;float32;110592;74772;cm000a.pd;Surface Upwelling Shortwave Radiation;surface_upwelling_shortwave_flux_in_air
rsutcs;fld_s01i209;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;up;MIP_APmon;CM2;float32;110592;12;cw323a.pm;CLEAR-SKY (II) UPWARD SW FLUX (TOA);toa_outgoing_shortwave_flux_assuming_clear_sky
rsut;fld_s01i208;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;up;MIP_APmon;CM2;float32;110592;12;cw323a.pm;OUTGOING SW RAD FLUX (TOA);toa_outgoing_shortwave_flux
rtmt;fld_s01i207 fld_s01i208 fld_s03i332;var[0]-var[1]-var[2];W m-2;time lat lon;longitude latitude time;mon;atmos;area: time:mean;down;MIP_APmon;CM2;float32;110592;12;cw323a.pm;Net Downward Radiative Flux at Top of Model;net_downward_radiative_flux_at_top_of_atmosphere_model
rv850;fld_s30i455;;s-1;time lat_v lon_u;longitude latitude time1 p850;6hrPt;atmos;area: time: point;;MIP_AP6hrPt;CM2;float32;111360;289440;cm000a.p7;Relative Vorticity at 850hPa;atmosphere_relative_vorticity
sci;fld_s05i270;;1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;CM2;float32;110592;12;cw323a.pm;shallow convection indicator;
sfcWind;fld_s03i230;;m s-1;time lat lon;longitude latitude time height10m;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;10 METRE WIND SPEED ON C GRID;wind_speed
