cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
theta;fld_s00i004;level_to_height(obj,var[0]);K;time model_theta_level_number lat lon;longitude latitude alevel time;mon;atmos;area: time: mean;;CM2_mon;AM3;float32;9400320;480;di787a.pa;THETA AFTER TIMESTEP;air_potential_temperature
ts;fld_s00i024;;K;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;AM3;float32;110592;480;di787a.pm;SURFACE TEMPERATURE AFTER TIMESTEP;surface_temperature
ua17;fld_s30i201;;m s-1;time pressure lat_v lon_u;longitude latitude plev17 time;mon;atmos;area: time: mean;;AM3_Amon;AM3;float32;1893120;480;di787a.pa;U COMPNT OF WIND ON P LEV/UV GRID;eastward_wind
ua17uvgrid;fld_s30i201;;m s-1;time pressure lat_v lon_u;gridlongitude gridlatitude plev17 time;mon;atmos;area: time: mean;;AM3_Amon;AM3;float32;1893120;480;di787a.pa;U COMPNT OF WIND ON P LEV/UV GRID;eastward_wind
va17;fld_s30i202;;m s-1;time pressure lat_v lon_u;longitude latitude plev17 time;mon;atmos;area: time: mean;;AM3_Amon;AM3;float32;1893120;480;di787a.pa;V COMPNT OF WIND ON P LEV/UV GRID;northward_wind
va17uvgrid;fld_s30i202;;m s-1;time pressure lat_v lon_u;gridlongitude gridlatitude plev17 time;mon;atmos;area: time: mean;;AM3_Amon;AM3;float32;1893120;480;di787a.pa;V COMPNT OF WIND ON P LEV/UV GRID;northward_wind
wa17uvgrid;fld_s30i203;;m s-1;time pressure lat_v lon_u;gridlongitude gridlatitude plev17 time;mon;atmos;area: time: mean;;AM3_Amon;AM3;float32;1893120;480;di787a.pa;W COMPNT OF WIND ON P LEV/UV GRID;upward_air_velocity
wap17;fld_s30i298;;Pa s-1;time pressure lat lon;longitude latitude plev17 time;mon;atmos;area: time: mean;;AM3_Amon;AM3;float32;1880064;480;di787a.pa;OMEGA ON P LEV/T GRID;lagrangian_tendency_of_air_pressure
wap17uvgrid;fld_s30i208;;Pa s-1;time pressure lat_v lon_u;gridlongitude gridlatitude plev17 time;mon;atmos;area: time: mean;;AM3_Amon;AM3;float32;1893120;480;di787a.pa;OMEGA ON P LEV/UV GRID;lagrangian_tendency_of_air_pressure
zg17;fld_s30i297;;m;time pressure lat lon;longitude latitude plev17 time;mon;atmos;area: time: mean;;AM3_Amon;AM3;float32;1880064;480;di787a.pa;GEOPOTENTIAL HEIGHT ON P LEV/T GRID;geopotential_height
zg17uvgrid;fld_s30i207;;m;time pressure lat_v lon_u;gridlongitude gridlatitude plev17 time;mon;atmos;area: time: mean;;AM3_Amon;AM3;float32;1893120;480;di787a.pa;GEOPOTENTIAL HEIGHT ON P LEV/UV GRID;geopotential_height
